claim_id,policy_id,accident_date,reporting_date,claim_amount,claim_status,payout_amount
34,151,23/06/2026,10/07/2026,106774.88,Pending,0
35,5601,29/10/2024,30/11/2024,189396.31,Rejected,0
36,5986,28/09/2025,04/12/2025,121515.49,Approved,116067.66
37,987,12/07/2026,01/09/2026,80098.96,Rejected,0
38,4237,07/12/2024,12/03/2025,103756.38,Approved,103756.38
39,1631,31/01/2026,16/02/2026,117867.59,Approved,117867.59
40,3879,08/06/2023,09/06/2023,126405.04,Approved,126405.04
41,4054,07/09/2023,30/11/2023,47981.92,Approved,47981.92
42,3515,29/07/2023,14/12/2023,187135.09,Approved,187135.09
43,684,18/02/2026,21/04/2026,161595.65,Rejected,0
44,1916,16/01/2025,09/02/2025,86494.71,Approved,86494.71
45,4517,02/08/2024,15/08/2024,196840.96,Rejected,0
46,1517,19/06/2023,04/07/2023,68190.87,Approved,42403.92
47,4048,06/11/2024,23/03/2025,84665.39,Approved,84665.39
48,3605,25/04/2025,14/05/2025,172339.15,Approved,172339.15
49,5597,14/11/2023,31/03/2024,193814.75,Rejected,0
50,3058,23/06/2023,04/08/2023,96531,Approved,90951.22
51,382,30/12/2024,06/04/2025,78389.14,Approved,69351.92
52,72,26/06/2024,12/10/2024,146235.81,Rejected,0
53,571,27/05/2024,28/09/2024,59693.21,Approved,46787.44
54,4343,08/11/2023,23/11/2023,11904.47,Rejected,0
55,309,16/07/2026,15/11/2026,170617.62,Approved,170617.62
56,676,23/08/2025,12/09/2025,14170.01,Pending,0
57,1381,16/04/2024,15/06/2024,188348.43,Approved,188348.43
58,541,21/12/2024,31/12/2024,84135.37,Rejected,0
59,5666,29/09/2025,20/02/2026,186973.9,Approved,186973.9
60,839,16/07/2025,15/09/2025,26610.22,Approved,26610.22
61,1228,18/05/2025,06/08/2025,187178.99,Pending,0
62,3739,21/03/2023,16/07/2023,112817.23,Rejected,0
63,4989,13/03/2023,31/03/2023,101424,Approved,101424
64,2648,06/03/2024,23/03/2024,74220.65,Pending,0
65,786,12/09/2024,02/01/2025,140856.22,Rejected,0
66,2741,23/09/2025,05/02/2026,163512.27,Approved,163512.27
67,5016,03/10/2025,29/10/2025,27291.08,Pending,0
68,5030,09/07/2023,05/08/2023,31511.86,Rejected,0
69,3393,17/04/2026,09/06/2026,41117.66,Rejected,0
70,4563,05/08/2025,11/10/2025,50598.69,Approved,26558.82
71,269,27/03/2025,13/07/2025,9295.31,Rejected,0
72,4264,24/06/2024,27/07/2024,52760.07,Rejected,0
73,2056,19/04/2024,07/09/2024,112400.92,Rejected,0
74,4133,22/07/2024,10/08/2024,138358.41,Pending,0
75,3053,01/11/2024,20/03/2025,74158.59,Approved,74158.59
76,2621,01/07/2025,02/08/2025,73247.98,Approved,71517.58
77,1780,06/05/2023,05/08/2023,50281.18,Approved,50281.18
78,5222,03/07/2026,15/10/2026,150020.78,Pending,0
79,4716,31/01/2024,12/03/2024,162248.96,Pending,0
80,285,25/11/2023,01/12/2023,184935.22,Approved,184935.22
81,1370,01/10/2023,03/12/2023,157581.21,Approved,157581.21
82,2571,20/05/2023,17/09/2023,163409.03,Approved,163409.03
83,1920,21/06/2025,18/08/2025,132176.62,Approved,132176.62
84,4352,08/12/2023,25/12/2023,56185.44,Pending,0
85,2392,26/02/2026,06/07/2026,196239.36,Approved,196239.36
86,5244,07/11/2023,06/12/2023,52612.43,Pending,0
87,1516,19/07/2025,24/09/2025,119515.97,Approved,119515.97
88,3993,07/07/2023,26/10/2023,102528.9,Rejected,0
89,4974,25/05/2025,19/10/2025,9355.11,Approved,9355.11
90,303,04/10/2024,18/02/2025,188082.49,Rejected,0
91,1692,01/09/2025,21/10/2025,14459.78,Approved,14459.78
92,4324,19/09/2023,08/12/2023,25362.75,Rejected,0
93,5841,19/10/2024,25/02/2025,81974.39,Approved,81974.39
94,806,10/08/2025,29/12/2025,84379.04,Approved,70193.72
95,1283,30/03/2023,22/08/2023,109813.47,Approved,109813.47
96,2431,28/08/2024,20/10/2024,116206.96,Approved,116206.96
97,635,28/08/2024,19/12/2024,43133.43,Approved,43133.43
98,1068,19/03/2024,09/04/2024,132938.84,Approved,132938.84
99,2498,25/01/2025,26/03/2025,45315.81,Rejected,0
100,5893,23/03/2023,29/04/2023,49346.09,Approved,49346.09
101,2793,22/10/2024,15/02/2025,126138.19,Approved,126138.19
102,744,01/06/2024,07/09/2024,49174.9,Approved,49174.9
103,4730,27/03/2024,23/04/2024,44158.81,Rejected,0
104,2909,01/12/2025,12/04/2026,111702.46,Approved,62493.7
105,3725,04/04/2025,31/07/2025,197584.54,Rejected,0
106,3755,27/03/2026,16/06/2026,178339.47,Pending,0
107,3535,15/12/2024,23/04/2025,181417.52,Approved,181417.52
108,5853,12/04/2025,11/08/2025,150479.47,Approved,95687.27
109,25,13/08/2026,15/12/2026,55282.19,Rejected,0
110,3996,23/08/2023,04/11/2023,67501.58,Approved,36415.96
111,1924,19/12/2023,16/02/2024,30984.65,Approved,30984.65
112,5806,24/04/2024,06/08/2024,93451.9,Approved,93451.9
113,5254,18/11/2025,25/02/2026,117023.84,Pending,0
114,5446,18/03/2025,23/03/2025,153236.12,Pending,0
115,160,14/04/2025,14/08/2025,70675.88,Approved,70675.88
116,3135,09/11/2023,25/03/2024,109453.4,Rejected,0
117,6,11/09/2024,06/11/2024,54950.59,Approved,54950.59
118,5294,11/02/2026,08/05/2026,159729.39,Rejected,0
119,2544,10/05/2024,06/09/2024,196154.03,Pending,0
120,1451,19/09/2024,25/09/2024,118582.61,Pending,0
121,230,12/11/2023,18/11/2023,86008.25,Approved,50662.92
122,3491,03/09/2025,09/12/2025,91212.52,Approved,91212.52
123,486,14/08/2024,24/10/2024,166468.89,Rejected,0
124,3812,04/11/2023,24/11/2023,149930.34,Approved,149930.34
125,212,02/02/2025,31/03/2025,156355.99,Rejected,0
126,5426,14/06/2026,24/06/2026,189947.54,Rejected,0
127,4380,19/05/2025,24/05/2025,48089.72,Rejected,0
128,4084,17/11/2025,16/12/2025,43983.93,Approved,43983.93
129,1689,01/10/2023,12/11/2023,192765.08,Rejected,0
130,4778,10/07/2023,20/08/2023,22065.7,Pending,0
131,3443,28/07/2024,15/10/2024,181651.22,Approved,181651.22
132,2426,04/10/2025,23/10/2025,166199.04,Approved,166199.04
133,2708,15/11/2026,31/01/2027,120282.12,Pending,0
134,880,31/07/2023,22/12/2023,69767.15,Rejected,0
135,2749,18/12/2025,22/03/2026,129684.88,Approved,129684.88
136,2597,26/08/2023,29/12/2023,192177.12,Approved,192177.12
137,4013,14/12/2023,22/01/2024,146892.16,Approved,92885.84
138,5678,13/12/2025,15/04/2026,165234.05,Approved,165234.05
139,5589,02/05/2024,03/07/2024,17789.25,Rejected,0
140,5595,27/07/2025,27/09/2025,114185,Rejected,0
141,5269,18/06/2025,23/09/2025,99114.15,Approved,99114.15
142,5746,18/12/2025,10/02/2026,52041.31,Approved,52041.31
143,2267,25/05/2026,03/08/2026,103567.14,Approved,103567.14
144,3247,17/10/2024,29/01/2025,151753.85,Approved,151753.85
145,5502,11/03/2024,14/07/2024,3940.03,Approved,3940.03
146,5655,07/12/2023,07/02/2024,116520.34,Approved,116520.34
147,824,08/10/2023,04/01/2024,149314.12,Approved,149314.12
148,5389,14/10/2024,07/02/2025,50655.03,Approved,50655.03
149,3887,16/05/2024,04/08/2024,107404.86,Approved,107404.86
150,2490,02/03/2025,20/04/2025,97097.62,Approved,97097.62
151,5961,19/05/2024,30/07/2024,166609.36,Pending,0
152,1529,31/03/2025,28/05/2025,60802.38,Approved,60802.38
153,517,07/12/2024,15/02/2025,11377.94,Approved,11377.94
154,2793,18/11/2024,23/03/2025,2946.95,Approved,2946.95
155,5532,02/06/2026,22/09/2026,193116.78,Approved,193116.78
156,4231,12/09/2024,11/10/2024,80441.13,Rejected,0
157,4219,03/05/2023,27/09/2023,11195.01,Rejected,0
158,4383,01/10/2025,22/02/2026,17493.59,Pending,0
159,1756,02/12/2025,01/01/2026,83526.72,Approved,83526.72
160,5541,12/07/2026,07/09/2026,76385.42,Rejected,0
161,2750,01/11/2023,16/01/2024,198011.24,Pending,0
162,1326,03/08/2025,26/12/2025,122121.37,Rejected,0
163,5177,05/02/2023,30/03/2023,53296.9,Rejected,0
164,3723,21/03/2025,30/04/2025,110622.45,Approved,110622.45
165,4255,26/05/2026,18/09/2026,94247.54,Rejected,0
166,1392,28/11/2025,26/01/2026,56902.32,Approved,30435.8
167,5305,21/03/2026,27/05/2026,125199.07,Rejected,0
168,5102,09/07/2026,28/08/2026,109140.19,Approved,109140.19
169,2245,29/10/2023,04/12/2023,33601.6,Approved,33601.6
170,3555,07/04/2024,19/06/2024,94005.25,Approved,94005.25
171,2057,16/01/2024,25/03/2024,99012.15,Approved,99012.15
172,465,22/10/2025,09/02/2026,120940.87,Rejected,0
173,1818,05/09/2024,28/09/2024,135022.52,Approved,106355.92
174,3022,25/11/2025,01/02/2026,152740.25,Approved,152740.25
175,3506,09/06/2025,30/09/2025,36707.08,Pending,0
176,1499,23/04/2026,12/08/2026,98599.3,Rejected,0
177,28,20/12/2023,18/04/2024,66995.02,Approved,66995.02
178,2587,08/05/2024,31/07/2024,99346.07,Approved,99346.07
179,230,01/07/2023,18/11/2023,18067.93,Approved,18067.93
180,4141,19/05/2024,30/08/2024,165072.98,Pending,0
181,2904,15/09/2023,31/01/2024,11313.72,Approved,11313.72
182,3757,01/11/2023,07/03/2024,152118.11,Rejected,0
183,4015,16/08/2023,23/10/2023,185570.72,Approved,185570.72
184,690,12/12/2025,15/04/2026,194642.79,Approved,194642.79
185,3908,17/11/2023,27/12/2023,3228.06,Approved,3228.06
186,968,16/07/2023,14/08/2023,23934.5,Approved,17812.15
187,4274,30/09/2024,07/02/2025,83390.32,Rejected,0
188,5547,28/09/2024,26/01/2025,110477.38,Approved,110477.38
189,3804,01/05/2026,08/09/2026,27733.41,Rejected,0
190,5463,19/06/2023,28/08/2023,170955.27,Rejected,0
191,659,16/04/2024,23/08/2024,1011.77,Approved,1011.77
192,5903,31/01/2026,28/06/2026,98183.25,Pending,0
193,2812,17/07/2023,08/11/2023,69352.23,Approved,69352.23
194,3691,03/05/2026,07/08/2026,64694.58,Approved,64694.58
195,1158,05/07/2025,04/09/2025,47095.71,Approved,47095.71
196,5216,14/08/2023,03/11/2023,141192.96,Rejected,0
197,1156,14/06/2024,20/09/2024,158582.54,Pending,0
198,3091,05/06/2024,13/07/2024,7885.41,Approved,7885.41
199,5211,03/10/2023,26/12/2023,174900.98,Pending,0
200,2571,12/12/2023,06/01/2024,91657.15,Approved,91657.15
201,3344,10/09/2025,19/10/2025,156414.3,Approved,156414.3
202,1885,05/08/2026,14/11/2026,170427.18,Rejected,0
203,5346,27/12/2025,12/05/2026,63673.9,Approved,63673.9
204,540,21/07/2026,06/12/2026,14149.94,Approved,14149.94
205,1452,19/01/2024,17/03/2024,87077.31,Rejected,0
206,875,10/02/2024,06/03/2024,138953.23,Approved,72608.01
207,105,08/09/2024,22/11/2024,86422.01,Approved,86422.01
208,3668,09/02/2025,03/07/2025,36421.35,Rejected,0
209,4941,16/03/2024,05/04/2024,76817.59,Rejected,0
210,379,07/06/2025,07/08/2025,116839.85,Approved,116839.85
211,4250,24/05/2025,28/07/2025,133534.72,Approved,97209.82
212,3621,27/03/2026,13/08/2026,88625.09,Approved,88625.09
213,627,01/05/2026,16/07/2026,85149.63,Rejected,0
214,1906,01/03/2025,25/06/2025,40243.79,Rejected,0
215,1468,05/09/2025,06/01/2026,76582.18,Approved,76582.18
216,3469,20/06/2025,03/09/2025,166092.49,Approved,166092.49
217,853,24/04/2023,15/09/2023,155773.17,Pending,0
218,5429,28/04/2024,02/09/2024,180635.52,Rejected,0
219,5737,13/02/2026,14/05/2026,38431.33,Approved,38431.33
220,4649,03/05/2025,07/06/2025,180729.04,Rejected,0
221,2337,11/11/2024,21/11/2024,88444.23,Approved,88444.23
222,2089,19/11/2023,12/12/2023,65680.47,Pending,0
223,4357,29/04/2026,12/06/2026,157409.31,Approved,106923.45
224,355,14/08/2024,22/10/2024,51765.53,Rejected,0
225,1291,27/02/2026,13/05/2026,68073.69,Rejected,0
226,2052,14/01/2025,13/05/2025,28581.02,Pending,0
227,1773,21/02/2025,02/06/2025,161015.23,Pending,0
228,4853,11/05/2025,03/06/2025,3276.77,Rejected,0
229,5737,20/07/2026,20/08/2026,134729.26,Approved,134729.26
230,2347,11/02/2025,19/05/2025,188088.23,Rejected,0
231,174,25/11/2023,23/01/2024,124099.6,Approved,81995.47
232,635,10/11/2024,05/01/2025,127263.08,Rejected,0
233,4709,08/04/2025,24/06/2025,23776.85,Rejected,0
234,861,10/06/2025,19/06/2025,98778.61,Approved,98778.61
235,1845,18/08/2026,21/09/2026,74516.8,Approved,62689.28
236,4617,19/05/2025,03/09/2025,145456.53,Approved,119406.97
237,3013,03/05/2025,15/08/2025,56308.16,Pending,0
238,2711,09/04/2026,12/07/2026,89216.82,Approved,89216.82
239,787,15/09/2023,10/10/2023,73783.32,Pending,0
240,1858,18/10/2026,17/01/2027,55538.35,Approved,53595.36
241,2398,17/11/2025,10/12/2025,128520.04,Rejected,0
242,1742,23/01/2024,28/01/2024,67035.08,Approved,59367.56
243,1558,09/12/2024,26/12/2024,111064.45,Rejected,0
244,5556,12/04/2025,06/06/2025,46983.24,Rejected,0
245,5184,08/02/2026,08/02/2026,196813.61,Approved,150504.46
246,3410,08/09/2025,06/10/2025,5643.14,Rejected,0
247,713,12/09/2023,12/12/2023,47967.36,Rejected,0
248,1552,07/11/2025,11/11/2025,10953.6,Approved,10953.6
249,1498,04/01/2025,02/02/2025,95511.07,Rejected,0
250,1317,18/10/2023,26/02/2024,90675.08,Approved,90675.08
251,2026,07/11/2023,18/11/2023,181795.96,Rejected,0
252,5956,19/12/2023,30/04/2024,128846.47,Approved,128846.47
253,567,13/06/2026,23/09/2026,22038.39,Approved,22038.39
254,2970,09/08/2025,27/08/2025,64761.31,Pending,0
255,4936,02/02/2026,18/02/2026,125051.34,Approved,125051.34
256,2149,22/06/2026,13/09/2026,119679.68,Approved,119679.68
257,497,07/02/2024,27/05/2024,140504.99,Approved,115066.44
258,1742,31/12/2023,24/02/2024,177674.16,Approved,177674.16
259,2976,04/04/2024,15/07/2024,19469.62,Approved,19469.62
260,4596,11/12/2024,14/02/2025,30951.47,Approved,16493.89
261,2701,28/01/2024,20/02/2024,149045.5,Approved,149045.5
262,2200,03/10/2023,22/02/2024,191346.61,Approved,191346.61
263,4517,14/11/2024,15/12/2024,174784.67,Approved,123614.55
264,2565,28/10/2025,09/01/2026,70653.41,Rejected,0
265,3059,03/06/2026,10/10/2026,131518.89,Approved,131518.89
266,4184,15/02/2025,15/05/2025,73828.43,Rejected,0
267,633,24/04/2025,17/09/2025,86107.93,Approved,86107.93
268,2671,11/04/2024,31/08/2024,185852.32,Approved,117281.99
269,2603,06/04/2025,14/06/2025,62142.45,Rejected,0
270,5826,24/03/2026,21/06/2026,174037.61,Approved,174037.61
271,5642,21/08/2025,07/09/2025,126817.82,Approved,126817.82
272,4190,04/04/2026,29/05/2026,91002.34,Approved,91002.34
273,3836,13/06/2025,04/09/2025,113734.91,Rejected,0
274,2029,17/03/2023,30/03/2023,151009.96,Approved,151009.96
275,2255,22/05/2024,30/07/2024,85090.95,Approved,85090.95
276,5962,06/06/2025,14/08/2025,102713.09,Approved,102713.09
277,2626,01/10/2023,12/12/2023,118830.28,Rejected,0
278,2709,07/03/2025,24/05/2025,79355.05,Approved,79355.05
279,1856,16/06/2023,07/08/2023,42641.18,Approved,42641.18
280,2857,22/09/2024,05/12/2024,2042.12,Approved,2042.12
281,2391,09/09/2024,12/10/2024,140882.42,Approved,140882.42
282,149,12/03/2026,10/06/2026,172421.99,Approved,172421.99
283,2033,04/01/2024,30/04/2024,172490.95,Pending,0
284,3720,05/07/2026,22/10/2026,142045.04,Approved,142045.04
285,2510,19/10/2025,30/01/2026,65291.25,Approved,52421.13
286,2496,02/04/2025,03/07/2025,168974.63,Approved,168974.63
287,1306,26/05/2026,05/09/2026,79455.46,Approved,79455.46
288,5233,04/08/2025,29/09/2025,34042.48,Approved,34042.48
289,3592,02/10/2024,14/02/2025,181231.58,Approved,181231.58
290,3311,24/03/2024,30/04/2024,29715.62,Approved,29715.62
291,3341,16/03/2025,24/04/2025,131274.05,Rejected,0
292,3011,31/05/2025,04/10/2025,112965.23,Approved,112965.23
293,5756,30/08/2026,21/01/2027,197313.12,Rejected,0
294,950,10/11/2025,29/01/2026,14123.11,Approved,14123.11
295,1712,31/10/2025,09/01/2026,70712.47,Approved,70712.47
296,2853,14/05/2025,06/09/2025,74063.15,Approved,74063.15
297,89,29/01/2026,21/02/2026,101660.03,Rejected,0
298,3570,22/06/2025,17/11/2025,158467.65,Approved,114155.26
299,4671,07/08/2026,24/09/2026,95387.99,Approved,95387.99
300,3367,02/09/2023,26/12/2023,179875.8,Approved,179875.8
301,5612,10/03/2023,17/07/2023,8308.85,Rejected,0
302,2254,01/08/2024,21/11/2024,105051.68,Pending,0
303,3723,17/12/2025,26/01/2026,183628.39,Approved,183628.39
304,1217,07/04/2025,20/04/2025,129637.42,Rejected,0
305,2951,08/02/2024,02/05/2024,135836.68,Approved,135836.68
306,818,19/10/2025,26/11/2025,116756.53,Approved,116756.53
307,1022,06/10/2024,24/12/2024,139846.75,Pending,0
308,4758,28/05/2024,30/06/2024,187631.44,Approved,187631.44
309,5634,12/05/2024,04/08/2024,134188.22,Rejected,0
310,1483,30/01/2026,13/06/2026,134255.98,Approved,134255.98
311,3341,21/05/2024,21/08/2024,190258.28,Approved,190258.28
312,3558,14/12/2024,01/02/2025,27944.29,Approved,27944.29
313,541,20/04/2024,27/08/2024,167106.41,Rejected,0
314,5307,23/05/2026,01/06/2026,175340.36,Rejected,0
315,12,13/04/2026,16/05/2026,31273.43,Approved,31273.43
316,4672,30/06/2025,11/08/2025,9216.64,Rejected,0
317,3274,06/01/2025,07/03/2025,122313.79,Pending,0
318,3076,21/07/2025,18/09/2025,62238.85,Approved,45423.01
319,4535,22/05/2023,24/08/2023,114298.67,Rejected,0
320,4034,18/10/2023,13/02/2024,155735.75,Rejected,0
321,1788,13/10/2023,25/02/2024,32830.61,Approved,32830.61
322,4594,18/02/2025,25/03/2025,10909.87,Pending,0
323,4039,20/12/2023,24/03/2024,20966.65,Approved,19227.91
324,157,30/09/2024,21/10/2024,54921.86,Rejected,0
325,323,25/08/2025,01/10/2025,18796.86,Rejected,0
326,5857,09/05/2025,01/09/2025,186129.15,Pending,0
327,3516,09/05/2025,22/05/2025,75105.32,Approved,75105.32
328,5035,03/10/2024,06/01/2025,64077.63,Approved,64077.63
329,808,16/10/2025,09/01/2026,27951.12,Rejected,0
330,989,12/02/2026,12/06/2026,28189.14,Rejected,0
331,10,19/03/2026,17/07/2026,1547.61,Approved,1547.61
332,2528,11/08/2024,05/10/2024,109986.45,Rejected,0
333,3026,18/03/2024,31/07/2024,155346.44,Approved,155346.44
334,4506,26/01/2026,07/02/2026,127970.87,Approved,127970.87
335,2327,26/07/2024,23/08/2024,100215.93,Rejected,0
336,2939,28/01/2024,01/02/2024,115221.97,Rejected,0
337,2503,22/01/2025,06/04/2025,123154.51,Approved,123154.51
338,4198,01/06/2026,18/07/2026,17579.98,Rejected,0
339,2704,04/10/2023,21/10/2023,109044.35,Pending,0
340,4329,13/08/2025,01/01/2026,174729.62,Approved,174729.62
341,3026,26/11/2023,29/02/2024,3740.33,Approved,3740.33
342,1636,10/03/2025,10/05/2025,125837.26,Rejected,0
343,5408,20/01/2026,15/04/2026,70783.66,Approved,70783.66
344,1308,22/06/2026,05/08/2026,137094.17,Rejected,0
345,1793,31/03/2025,31/07/2025,162393.79,Rejected,0
346,5589,21/12/2023,16/04/2024,40717.4,Approved,40717.4
347,2095,05/02/2024,25/04/2024,103319.03,Pending,0
348,5551,02/02/2026,03/06/2026,150781.54,Approved,150781.54
349,1357,12/02/2026,24/02/2026,66718.97,Pending,0
350,3442,09/07/2025,11/10/2025,80304.34,Approved,80304.34
351,3690,07/05/2024,01/08/2024,99492.54,Pending,0
352,1769,04/10/2025,06/01/2026,104095.53,Pending,0
353,3471,14/02/2025,02/06/2025,120689.43,Approved,92602.88
354,444,26/11/2024,22/12/2024,132353.38,Approved,132353.38
355,4466,16/09/2026,03/01/2027,89059.72,Approved,89059.72
356,2473,05/06/2024,24/09/2024,196015.44,Approved,105215.24
357,3011,22/01/2026,05/05/2026,160318.65,Approved,160318.65
358,2747,16/12/2022,21/01/2023,135778.73,Rejected,0
359,5356,13/03/2025,21/03/2025,47581.08,Approved,47581.08
360,5719,14/04/2024,21/07/2024,6960.87,Pending,0
361,2018,06/05/2025,29/08/2025,74716.67,Pending,0
362,1723,08/03/2025,01/08/2025,73706.51,Approved,73706.51
363,5512,24/06/2025,26/08/2025,5669.71,Pending,0
364,1261,16/01/2025,23/05/2025,182751.73,Approved,182751.73
365,2091,19/03/2026,11/07/2026,122569.5,Approved,122569.5
366,1827,29/12/2024,18/02/2025,170638.84,Approved,170638.84
367,2421,10/12/2024,01/01/2025,193528.47,Rejected,0
368,4333,27/09/2023,24/12/2023,110224.43,Rejected,0
369,3881,04/04/2024,19/06/2024,142505.92,Pending,0
370,584,02/11/2024,16/12/2024,101996.77,Rejected,0
371,2246,30/11/2024,20/01/2025,47728.87,Rejected,0
372,2416,20/09/2025,26/09/2025,114669.34,Approved,114669.34
373,3598,18/01/2025,20/02/2025,17699.99,Rejected,0
374,4061,20/12/2023,30/03/2024,143914.5,Pending,0
375,5641,12/06/2026,25/09/2026,164756.21,Rejected,0
376,408,14/09/2025,16/10/2025,128646.55,Pending,0
377,2423,28/09/2025,25/01/2026,69230.7,Rejected,0
378,5738,14/05/2025,11/10/2025,193269.79,Approved,193269.79
379,4396,31/10/2024,01/12/2024,61172.85,Approved,61172.85
380,2189,16/10/2025,12/12/2025,188210.36,Approved,172119.79
381,3178,05/01/2025,24/02/2025,110392.86,Rejected,0
382,3593,03/01/2024,20/03/2024,19138.97,Rejected,0
383,1639,06/09/2025,19/10/2025,116338.98,Approved,116338.98
384,5616,26/06/2024,20/09/2024,112941.8,Rejected,0
385,3733,01/08/2024,21/08/2024,128470.02,Approved,128470.02
386,4449,07/10/2026,29/11/2026,83609.06,Rejected,0
387,5390,22/07/2025,29/07/2025,125619.22,Approved,125619.22
388,626,17/03/2025,18/07/2025,161566.19,Approved,161566.19
389,4020,26/06/2024,14/07/2024,32037.05,Rejected,0
390,829,21/05/2024,21/09/2024,68368.42,Approved,68368.42
391,1027,28/04/2024,25/07/2024,26587.85,Pending,0
392,461,12/07/2023,20/11/2023,64163.62,Approved,64163.62
393,1690,10/08/2024,03/12/2024,19813.92,Approved,19813.92
394,1358,08/01/2025,25/04/2025,173128.85,Approved,173128.85
395,366,23/04/2025,17/09/2025,38371.9,Rejected,0
396,2354,10/02/2025,17/06/2025,93629.62,Pending,0
397,674,13/10/2025,17/02/2026,189073.94,Approved,189073.94
398,3021,18/05/2025,12/07/2025,10207.3,Approved,10207.3
399,5697,26/02/2024,25/06/2024,2131.39,Approved,2131.39
400,3864,10/06/2025,16/08/2025,152889.42,Rejected,0
401,1140,18/11/2025,29/11/2025,114271.19,Approved,114271.19
402,4392,11/11/2023,23/01/2024,101098.98,Approved,101098.98
403,1969,04/04/2026,04/05/2026,19787.96,Approved,19787.96
404,108,10/04/2024,30/08/2024,151115.55,Pending,0
405,1351,30/09/2024,07/02/2025,8530.85,Approved,8530.85
406,5800,27/03/2025,26/07/2025,30213.66,Approved,17176.24
407,574,19/12/2024,10/03/2025,198127.84,Approved,198127.84
408,2796,19/04/2024,14/07/2024,102187.96,Approved,102187.96
409,3116,21/04/2026,06/07/2026,3819.07,Approved,3819.07
410,3948,29/07/2025,12/11/2025,159452.59,Approved,159452.59
411,3584,06/04/2024,12/04/2024,53473.32,Approved,53473.32
412,576,16/07/2026,10/12/2026,10745.36,Approved,10745.36
413,4423,18/01/2026,25/04/2026,136305.02,Approved,136305.02
414,2720,01/08/2024,29/08/2024,88487.19,Approved,88487.19
415,1150,17/10/2025,08/12/2025,155106.97,Approved,143889.74
416,16,22/05/2023,26/06/2023,112396.91,Approved,82544.49
417,5863,19/09/2025,08/12/2025,92202.87,Pending,0
418,3098,22/01/2026,19/04/2026,135335.78,Approved,112811.24
419,1925,12/06/2026,18/08/2026,38856.7,Rejected,0
420,4100,15/10/2025,25/12/2025,45360.97,Approved,29295.53
421,4266,16/08/2023,08/10/2023,98056.11,Rejected,0
422,3477,27/08/2025,24/11/2025,186929.84,Approved,186929.84
423,3986,10/09/2023,11/10/2023,108866.58,Approved,75479.48
424,4782,27/04/2026,03/06/2026,57882.25,Approved,57882.25
425,615,04/10/2025,25/01/2026,149594.03,Rejected,0
426,4769,18/10/2024,08/12/2024,54590.98,Rejected,0
427,2456,25/03/2026,02/06/2026,123327.57,Approved,123327.57
428,4927,23/06/2025,05/07/2025,106442.78,Rejected,0
429,3278,01/11/2025,30/12/2025,82953.62,Approved,82953.62
430,2588,29/05/2024,03/07/2024,110295.34,Approved,77138.87
431,5580,06/10/2024,05/02/2025,151304.26,Rejected,0
432,1603,29/01/2024,20/04/2024,12302.94,Approved,12302.94
433,5755,27/05/2024,20/10/2024,147867.96,Approved,76636.44
434,3745,16/10/2024,30/01/2025,35569.85,Pending,0
435,1659,03/07/2025,12/10/2025,37669.17,Rejected,0
436,3417,21/10/2024,30/10/2024,113808.39,Approved,113808.39
437,3627,08/10/2023,19/12/2023,128441.83,Approved,128441.83
