policy_id,customer_id,product_id,policy_number,start_date,end_date,premium_amount,coverage_amount
25,459,4,HOM-2025-0000025,2025-11-29,2026-11-28,549.53,23069.88
26,2585,7,TRV-2025-0000026,2025-03-31,2026-03-30,249.48,4253.22
27,1728,6,MTR-2024-0000027,2024-09-17,2025-09-16,659.20,9603.35
28,4090,7,TRV-2023-0000028,2023-11-13,2024-11-12,979.71,43901.53
29,5267,8,TRV-2024-0000029,2024-11-02,2025-11-01,329.21,3762.61
30,1144,4,HOM-2025-0000030,2025-06-08,2026-06-07,725.68,27956.46
31,4416,5,MTR-2024-0000031,2024-02-11,2025-02-10,1121.19,43295.45
32,3510,7,TRV-2022-0000032,2022-12-16,2023-12-15,1359.26,28938.43
33,1134,8,TRV-2023-0000033,2023-08-11,2024-08-10,753.53,6850.28
34,386,2,HLT-2025-0000034,2025-11-24,2026-11-23,212.12,2519.53
35,1311,7,TRV-2024-0000035,2024-09-22,2025-09-21,784.45,24975.64
36,3153,7,TRV-2024-0000036,2024-05-17,2025-05-16,1381.32,43946.67
37,3835,5,MTR-2024-0000037,2024-02-10,2025-02-09,265.16,12912.90
38,95,2,HLT-2023-0000038,2023-08-04,2024-08-03,472.82,16868.78
39,4399,5,MTR-2023-0000039,2023-11-05,2024-11-04,1708.60,67638.25
40,2787,2,HLT-2024-0000040,2024-05-11,2025-05-10,301.45,5488.65
41,1296,8,TRV-2023-0000041,2023-05-13,2024-05-12,1369.17,7045.80
42,5916,5,MTR-2023-0000042,2023-04-29,2024-04-28,1302.75,63489.47
43,1463,2,HLT-2024-0000043,2024-07-18,2025-07-17,1021.44,45120.41
44,2445,4,HOM-2023-0000044,2023-05-05,2024-05-04,2305.78,27387.52
45,1324,1,HLT-2024-0000045,2024-06-15,2025-06-14,765.33,24454.21
46,4003,1,HLT-2024-0000046,2024-05-23,2025-05-22,867.25,8702.03
47,2974,5,MTR-2025-0000047,2025-06-30,2026-06-29,241.27,3806.12
48,1973,2,HLT-2024-0000048,2024-01-20,2025-01-19,584.08,5171.68
49,3982,2,HLT-2023-0000049,2023-02-11,2024-02-10,1115.47,54668.41
50,4364,3,HOM-2024-0000050,2024-11-18,2025-11-17,393.68,4242.93
51,3894,3,HOM-2025-0000051,2025-03-18,2026-03-17,1180.59,19984.49
52,4970,7,TRV-2023-0000052,2023-06-17,2024-06-16,608.88,29467.56
53,4418,4,HOM-2024-0000053,2024-07-16,2025-07-15,769.43,28532.54
54,3269,6,MTR-2023-0000054,2023-04-07,2024-04-06,1283.15,31712.42
55,4240,8,TRV-2025-0000055,2025-04-11,2026-04-10,204.60,2137.09
56,1840,2,HLT-2024-0000056,2024-03-05,2025-03-04,517.47,10460.06
57,4820,4,HOM-2025-0000057,2025-08-08,2026-08-07,441.31,13892.35
58,59,2,HLT-2025-0000058,2025-07-23,2026-07-22,1530.92,56418.75
59,483,4,HOM-2024-0000059,2024-06-19,2025-06-18,454.87,3653.98
60,258,6,MTR-2025-0000060,2025-05-20,2026-05-19,1864.21,15265.23
61,1949,5,MTR-2023-0000061,2023-09-30,2024-09-29,720.93,25307.53
62,1755,3,HOM-2025-0000062,2025-12-04,2026-12-03,895.27,33618.16
63,4678,8,TRV-2023-0000063,2023-03-24,2024-03-23,723.28,11525.38
64,3875,7,TRV-2023-0000064,2023-02-15,2024-02-14,311.65,4228.61
65,795,7,TRV-2025-0000065,2025-09-28,2026-09-27,972.25,20362.21
66,3368,8,TRV-2023-0000066,2023-11-25,2024-11-24,532.74,23372.72
67,444,2,HLT-2024-0000067,2024-02-28,2025-02-27,315.95,2441.53
68,5966,6,MTR-2023-0000068,2023-04-08,2024-04-07,578.17,23720.39
69,896,4,HOM-2023-0000069,2023-12-02,2024-12-01,1177.41,16038.15
70,4394,8,TRV-2023-0000070,2023-05-11,2024-05-10,302.54,3421.18
71,1503,5,MTR-2024-0000071,2024-07-18,2025-07-17,1314.09,33927.52
72,618,8,TRV-2024-0000072,2024-02-10,2025-02-09,792.60,32782.73
73,4509,2,HLT-2024-0000073,2024-11-09,2025-11-08,978.12,7117.27
74,4429,1,HLT-2025-0000074,2025-08-19,2026-08-18,664.41,32293.54
75,1936,3,HOM-2024-0000075,2024-06-24,2025-06-23,521.18,12137.57
76,3944,4,HOM-2023-0000076,2023-08-15,2024-08-14,463.92,20370.39
77,481,3,HOM-2024-0000077,2024-07-03,2025-07-02,882.03,19452.10
78,3199,5,MTR-2024-0000078,2024-06-09,2025-06-08,718.38,33543.54
79,3728,5,MTR-2023-0000079,2023-10-27,2024-10-26,438.19,10532.04
80,5985,8,TRV-2025-0000080,2025-10-12,2026-10-11,1351.69,16174.13
81,2431,4,HOM-2024-0000081,2024-01-24,2025-01-23,511.91,24874.69
82,4745,1,HLT-2025-0000082,2025-11-30,2026-11-29,625.95,24198.54
83,469,1,HLT-2025-0000083,2025-11-01,2026-10-31,1636.66,51207.80
84,4120,3,HOM-2025-0000084,2025-09-07,2026-09-06,492.79,3725.29
85,4161,2,HLT-2023-0000085,2023-03-26,2024-03-25,578.82,25068.93
86,562,2,HLT-2025-0000086,2025-07-09,2026-07-08,1178.08,41685.85
87,1926,7,TRV-2025-0000087,2025-08-18,2026-08-17,922.19,9586.07
88,4667,4,HOM-2023-0000088,2023-08-28,2024-08-27,200.66,6230.77
89,326,2,HLT-2025-0000089,2025-03-14,2026-03-13,639.51,15261.98
90,4782,6,MTR-2023-0000090,2023-12-21,2024-12-20,1058.91,49834.19
91,1673,6,MTR-2023-0000091,2023-08-16,2024-08-15,791.54,12459.53
92,3243,3,HOM-2024-0000092,2024-11-23,2025-11-22,523.05,18424.99
93,2458,8,TRV-2024-0000093,2024-07-17,2025-07-16,531.16,10213.13
94,595,1,HLT-2024-0000094,2024-01-29,2025-01-28,678.27,17379.21
95,4613,2,HLT-2025-0000095,2025-08-26,2026-08-25,525.07,4356.37
96,1746,5,MTR-2025-0000096,2025-11-09,2026-11-08,484.89,5314.66
97,2860,2,HLT-2025-0000097,2025-04-19,2026-04-18,767.45,34203.07
98,3028,5,MTR-2023-0000098,2023-11-12,2024-11-11,754.51,9128.52
99,4451,5,MTR-2025-0000099,2025-11-03,2026-11-02,492.21,16009.38
100,5358,1,HLT-2024-0000100,2024-04-22,2025-04-21,712.36,24970.96
101,4544,5,MTR-2023-0000101,2023-03-02,2024-03-01,1125.54,52820.49
102,849,3,HOM-2023-0000102,2023-11-26,2024-11-25,859.12,14519.96
103,877,3,HOM-2023-0000103,2023-01-24,2024-01-23,1010.54,17437.54
104,4955,4,HOM-2024-0000104,2024-04-09,2025-04-08,404.72,15093.04
105,1667,5,MTR-2024-0000105,2024-08-20,2025-08-19,1345.61,37331.81
106,2057,1,HLT-2024-0000106,2024-01-25,2025-01-24,591.33,5412.70
107,3470,5,MTR-2023-0000107,2023-03-18,2024-03-17,372.75,2603.25
108,2733,3,HOM-2023-0000108,2023-10-29,2024-10-28,844.89,28447.53
109,2145,3,HOM-2025-0000109,2025-05-05,2026-05-04,764.88,29337.27
110,4520,7,TRV-2024-0000110,2024-04-07,2025-04-06,636.60,19251.30
111,917,2,HLT-2023-0000111,2023-11-01,2024-10-31,631.49,30013.01
112,5661,3,HOM-2025-0000112,2025-09-19,2026-09-18,215.42,6366.00
113,3025,3,HOM-2025-0000113,2025-01-19,2026-01-18,905.67,22044.37
114,343,5,MTR-2024-0000114,2024-08-11,2025-08-10,360.51,7718.27
115,327,6,MTR-2025-0000115,2025-08-30,2026-08-29,200.00,2890.69
116,2044,2,HLT-2024-0000116,2024-11-17,2025-11-16,525.53,10991.74
117,4587,7,TRV-2023-0000117,2023-07-15,2024-07-14,1523.24,74368.64
118,1267,4,HOM-2024-0000118,2024-01-21,2025-01-20,643.84,28269.25
119,1450,7,TRV-2023-0000119,2023-07-10,2024-07-09,968.00,5919.69
120,2722,7,TRV-2023-0000120,2023-12-24,2024-12-23,289.83,11912.18
121,2032,5,MTR-2025-0000121,2025-04-26,2026-04-25,344.77,4193.75
122,5745,2,HLT-2025-0000122,2025-03-22,2026-03-21,977.77,21720.55
123,318,8,TRV-2024-0000123,2024-01-18,2025-01-17,347.87,5221.36
124,3771,6,MTR-2025-0000124,2025-06-01,2026-05-31,767.37,14375.59
125,1864,4,HOM-2024-0000125,2024-10-01,2025-09-30,1155.95,7010.72
126,1582,7,TRV-2025-0000126,2025-05-30,2026-05-29,235.52,4656.65
127,569,5,MTR-2024-0000127,2024-08-17,2025-08-16,736.41,15318.49
128,4174,7,TRV-2024-0000128,2024-06-20,2025-06-19,328.85,11699.93
129,4393,6,MTR-2023-0000129,2023-11-11,2024-11-10,1205.12,56960.81
130,945,5,MTR-2023-0000130,2023-07-08,2024-07-07,630.15,8214.35
131,2174,1,HLT-2025-0000131,2025-02-04,2026-02-03,1316.06,13000.19
132,3560,6,MTR-2025-0000132,2025-01-10,2026-01-09,396.00,14962.67
133,2570,7,TRV-2023-0000133,2023-04-26,2024-04-25,839.97,27113.73
134,4190,2,HLT-2023-0000134,2023-02-17,2024-02-16,1324.49,29580.89
135,4724,4,HOM-2023-0000135,2023-05-25,2024-05-24,595.67,9806.22
136,5807,7,TRV-2023-0000136,2023-07-31,2024-07-30,595.73,3023.99
137,4411,4,HOM-2025-0000137,2025-08-06,2026-08-05,347.30,7428.74
138,574,6,MTR-2023-0000138,2023-08-11,2024-08-10,200.00,6608.40
139,5435,2,HLT-2025-0000139,2025-10-28,2026-10-27,304.29,11377.08
140,2461,5,MTR-2024-0000140,2024-09-21,2025-09-20,649.30,22732.11
141,2673,7,TRV-2025-0000141,2025-06-19,2026-06-18,399.47,14530.47
142,4542,3,HOM-2023-0000142,2023-03-14,2024-03-13,244.77,3336.90
143,5448,7,TRV-2024-0000143,2024-07-25,2025-07-24,351.58,12473.81
144,1426,5,MTR-2024-0000144,2024-07-20,2025-07-19,200.66,4670.04
145,4,5,MTR-2025-0000145,2025-06-18,2026-06-17,200.00,3582.22
146,3522,6,MTR-2024-0000146,2024-12-02,2025-12-01,3627.15,94031.94
147,3623,4,HOM-2025-0000147,2025-03-06,2026-03-05,574.76,16094.91
148,1391,2,HLT-2023-0000148,2023-12-31,2024-12-30,729.74,12967.76
149,5439,6,MTR-2025-0000149,2025-04-13,2026-04-12,775.84,7139.61
150,1924,5,MTR-2022-0000150,2022-12-23,2023-12-22,2830.01,42758.14
151,1631,3,HOM-2025-0000151,2025-10-27,2026-10-26,493.95,3012.67
152,2005,8,TRV-2023-0000152,2023-06-01,2024-05-31,529.43,17210.36
153,597,8,TRV-2025-0000153,2025-10-30,2026-10-29,1076.93,25469.23
154,5160,4,HOM-2025-0000154,2025-03-19,2026-03-18,386.96,14443.50
155,3146,8,TRV-2024-0000155,2024-01-24,2025-01-23,473.11,10874.14
156,1209,1,HLT-2025-0000156,2025-08-27,2026-08-26,1054.03,47610.21
157,874,7,TRV-2024-0000157,2024-05-17,2025-05-16,574.44,8529.20
158,5701,8,TRV-2023-0000158,2023-05-28,2024-05-27,351.71,2553.35
159,2041,2,HLT-2024-0000159,2024-03-05,2025-03-04,944.88,24132.97
160,3807,6,MTR-2024-0000160,2024-10-11,2025-10-10,419.32,20023.28
161,3626,7,TRV-2023-0000161,2023-08-08,2024-08-07,813.75,34483.15
162,4489,8,TRV-2024-0000162,2024-11-09,2025-11-08,200.00,9074.87
163,3889,8,TRV-2022-0000163,2022-12-11,2023-12-10,689.66,11492.23
164,2025,5,MTR-2024-0000164,2024-01-19,2025-01-18,1138.26,44917.58
165,4271,8,TRV-2025-0000165,2025-01-21,2026-01-20,227.14,7541.88
166,2250,8,TRV-2023-0000166,2023-09-09,2024-09-08,597.49,5070.75
167,2341,4,HOM-2025-0000167,2025-02-01,2026-01-31,562.64,9692.70
168,2620,2,HLT-2023-0000168,2023-05-20,2024-05-19,503.57,5653.50
169,1894,7,TRV-2025-0000169,2025-08-03,2026-08-02,319.18,11563.17
170,5787,4,HOM-2024-0000170,2024-03-13,2025-03-12,905.21,7142.38
171,3340,6,MTR-2025-0000171,2025-08-24,2026-08-23,321.54,9458.90
172,3407,1,HLT-2025-0000172,2025-02-01,2026-01-31,1504.95,21532.14
173,3442,7,TRV-2025-0000173,2025-07-09,2026-07-08,200.00,9143.55
174,4785,1,HLT-2023-0000174,2023-10-10,2024-10-09,720.06,31360.73
175,4717,7,TRV-2023-0000175,2023-07-31,2024-07-30,593.76,15713.32
176,2882,5,MTR-2024-0000176,2024-07-08,2025-07-07,2044.76,79554.21
177,3433,4,HOM-2023-0000177,2023-08-13,2024-08-12,433.25,11684.89
178,2236,7,TRV-2025-0000178,2025-03-22,2026-03-21,1762.18,47321.39
179,3186,6,MTR-2025-0000179,2025-03-08,2026-03-07,557.10,19553.83
180,3313,3,HOM-2022-0000180,2022-12-06,2023-12-05,632.29,27076.40
181,1046,1,HLT-2025-0000181,2025-06-23,2026-06-22,562.66,25776.47
182,4849,1,HLT-2024-0000182,2024-04-22,2025-04-21,577.68,5070.66
183,3512,3,HOM-2025-0000183,2025-01-03,2026-01-02,476.61,20974.80
184,1488,1,HLT-2023-0000184,2023-01-05,2024-01-04,761.96,12730.09
185,2682,4,HOM-2023-0000185,2023-05-28,2024-05-27,587.83,14967.02
186,2765,7,TRV-2024-0000186,2024-06-21,2025-06-20,1061.40,18597.37
187,3454,5,MTR-2024-0000187,2024-03-27,2025-03-26,533.93,22729.93
188,3853,1,HLT-2023-0000188,2023-12-12,2024-12-11,697.94,27014.53
189,427,6,MTR-2023-0000189,2023-03-05,2024-03-04,719.95,10864.04
190,563,1,HLT-2023-0000190,2023-12-15,2024-12-14,250.29,9746.42
191,2025,4,HOM-2025-0000191,2025-05-05,2026-05-04,519.94,22235.39
192,5090,3,HOM-2023-0000192,2023-04-07,2024-04-06,812.59,12785.72
193,3880,2,HLT-2023-0000193,2023-04-18,2024-04-17,2976.63,90425.94
194,1785,8,TRV-2024-0000194,2024-12-29,2025-12-28,599.34,21861.48
195,3022,3,HOM-2023-0000195,2023-03-23,2024-03-22,417.61,13474.26
196,5885,2,HLT-2025-0000196,2025-03-12,2026-03-11,944.67,37787.40
197,1342,5,MTR-2023-0000197,2023-06-19,2024-06-18,1207.06,11906.98
198,211,5,MTR-2023-0000198,2023-06-23,2024-06-22,751.43,23227.34
199,3075,7,TRV-2025-0000199,2025-09-25,2026-09-24,568.03,26905.41
200,1624,2,HLT-2024-0000200,2024-12-13,2025-12-12,592.84,18760.07
201,5139,4,HOM-2025-0000201,2025-04-08,2026-04-07,254.54,2439.91
202,2471,2,HLT-2023-0000202,2023-08-19,2024-08-18,1664.54,67963.54
203,4637,1,HLT-2024-0000203,2024-01-21,2025-01-20,1739.01,35865.64
204,3510,6,MTR-2025-0000204,2025-03-04,2026-03-03,345.21,2797.25
205,5305,6,MTR-2025-0000205,2025-07-05,2026-07-04,1027.65,5723.34
206,3442,8,TRV-2024-0000206,2024-09-23,2025-09-22,887.80,8655.38
207,2968,8,TRV-2023-0000207,2023-10-31,2024-10-30,200.00,7365.78
208,3568,3,HOM-2025-0000208,2025-03-22,2026-03-21,372.62,14167.31
209,5329,5,MTR-2025-0000209,2025-11-11,2026-11-10,874.63,28614.44
210,4409,8,TRV-2023-0000210,2023-10-14,2024-10-13,306.99,7956.97
211,5989,5,MTR-2024-0000211,2024-04-03,2025-04-02,1035.49,20195.89
212,2011,2,HLT-2024-0000212,2024-08-16,2025-08-15,1504.08,26399.27
213,3693,4,HOM-2025-0000213,2025-10-14,2026-10-13,628.40,24363.97
214,4669,7,TRV-2025-0000214,2025-09-10,2026-09-09,289.15,5822.86
215,4050,6,MTR-2024-0000215,2024-07-08,2025-07-07,1138.53,15009.01
216,1737,6,MTR-2024-0000216,2024-10-16,2025-10-15,200.00,8180.49
217,2789,5,MTR-2025-0000217,2025-02-17,2026-02-16,395.06,17625.36
218,5745,5,MTR-2024-0000218,2024-11-06,2025-11-05,446.08,13387.13
219,4233,4,HOM-2023-0000219,2023-06-11,2024-06-10,359.93,3186.31
220,5899,7,TRV-2023-0000220,2023-12-26,2024-12-25,889.55,24005.40
221,1968,8,TRV-2023-0000221,2023-11-20,2024-11-19,647.15,22045.57
222,4021,8,TRV-2023-0000222,2023-03-15,2024-03-14,662.75,26961.98
223,763,5,MTR-2024-0000223,2024-05-14,2025-05-13,1038.96,15555.14
224,5668,4,HOM-2023-0000224,2023-01-07,2024-01-06,1070.49,20103.02
225,4765,6,MTR-2025-0000225,2025-06-06,2026-06-05,877.34,23071.17
226,4350,6,MTR-2025-0000226,2025-04-14,2026-04-13,285.70,6898.99
227,4509,6,MTR-2023-0000227,2023-11-28,2024-11-27,233.65,4867.27
228,3718,5,MTR-2025-0000228,2025-06-07,2026-06-06,920.35,17300.77
229,1888,2,HLT-2023-0000229,2023-11-13,2024-11-12,1014.46,37999.43
230,2585,2,HLT-2022-0000230,2022-12-17,2023-12-16,3137.47,120571.87
231,5654,3,HOM-2023-0000231,2023-03-26,2024-03-25,539.68,7350.09
232,3967,5,MTR-2025-0000232,2025-08-12,2026-08-11,659.78,24811.90
233,4298,5,MTR-2023-0000233,2023-03-07,2024-03-06,606.79,29807.33
234,1590,5,MTR-2023-0000234,2023-11-26,2024-11-25,492.71,7507.30
235,1469,5,MTR-2023-0000235,2023-03-20,2024-03-19,203.68,1148.08
236,4376,3,HOM-2023-0000236,2023-01-23,2024-01-22,857.95,14880.29
237,447,5,MTR-2024-0000237,2024-05-02,2025-05-01,1645.29,59861.87
238,1035,8,TRV-2023-0000238,2023-03-26,2024-03-25,563.50,5418.87
239,101,5,MTR-2025-0000239,2025-02-11,2026-02-10,643.03,16797.78
240,3609,6,MTR-2023-0000240,2023-12-10,2024-12-09,563.05,7486.52
241,421,5,MTR-2024-0000241,2024-02-11,2025-02-10,1702.89,80628.20
242,3914,2,HLT-2025-0000242,2025-10-10,2026-10-09,211.57,8884.93
243,3283,8,TRV-2024-0000243,2024-12-29,2025-12-28,724.18,6035.10
244,5157,1,HLT-2023-0000244,2023-11-03,2024-11-02,377.44,4464.25
245,4611,5,MTR-2025-0000245,2025-03-22,2026-03-21,937.77,8283.45
246,2033,2,HLT-2023-0000246,2023-06-29,2024-06-28,437.35,13170.05
247,3410,4,HOM-2025-0000247,2025-05-11,2026-05-10,2957.53,118023.81
248,3117,8,TRV-2025-0000248,2025-05-19,2026-05-18,200.00,9176.54
249,2436,7,TRV-2024-0000249,2024-12-09,2025-12-08,308.44,5780.82
250,5088,1,HLT-2023-0000250,2023-12-18,2024-12-17,533.16,17292.19
251,813,4,HOM-2024-0000251,2024-12-09,2025-12-08,397.38,13172.42
252,2167,2,HLT-2024-0000252,2024-08-29,2025-08-28,835.92,10087.52
253,1424,2,HLT-2023-0000253,2023-09-27,2024-09-26,878.52,10580.87
254,3347,8,TRV-2023-0000254,2023-05-01,2024-04-30,758.12,27308.77
255,3850,5,MTR-2023-0000255,2023-05-05,2024-05-04,1214.44,7855.96
256,2361,5,MTR-2025-0000256,2025-09-24,2026-09-23,401.50,14708.73
257,3720,2,HLT-2024-0000257,2024-10-05,2025-10-04,394.98,14192.55
258,2167,4,HOM-2024-0000258,2024-06-08,2025-06-07,462.16,11152.50
259,4462,4,HOM-2024-0000259,2024-09-24,2025-09-23,1017.52,34741.76
260,2177,3,HOM-2024-0000260,2024-09-04,2025-09-03,271.81,2232.50
261,1360,5,MTR-2024-0000261,2024-11-30,2025-11-29,676.59,21499.99
262,4663,5,MTR-2023-0000262,2023-02-28,2024-02-27,382.62,9474.40
263,3840,5,MTR-2025-0000263,2025-10-17,2026-10-16,587.45,21434.88
264,2231,8,TRV-2025-0000264,2025-09-16,2026-09-15,662.13,16354.05
265,4900,1,HLT-2025-0000265,2025-09-04,2026-09-03,571.29,25721.78
266,2641,5,MTR-2023-0000266,2023-05-07,2024-05-06,802.82,4948.52
267,1875,1,HLT-2023-0000267,2023-03-10,2024-03-09,291.49,14568.89
268,5508,5,MTR-2024-0000268,2024-08-22,2025-08-21,1179.55,36484.80
269,1436,8,TRV-2024-0000269,2024-05-16,2025-05-15,479.68,13600.55
270,3623,5,MTR-2023-0000270,2023-05-24,2024-05-23,484.16,6374.94
271,4796,7,TRV-2023-0000271,2023-12-27,2024-12-26,681.89,22887.85
272,4029,2,HLT-2023-0000272,2023-09-29,2024-09-28,974.87,25493.31
273,3346,6,MTR-2023-0000273,2023-09-27,2024-09-26,407.09,7916.93
274,857,3,HOM-2025-0000274,2025-03-18,2026-03-17,1924.39,38182.14
275,5683,8,TRV-2024-0000275,2024-11-01,2025-10-31,841.80,15126.98
276,3281,1,HLT-2023-0000276,2023-07-11,2024-07-10,588.70,14992.52
277,2577,5,MTR-2024-0000277,2024-09-21,2025-09-20,2332.82,45600.38
278,3312,1,HLT-2023-0000278,2023-09-17,2024-09-16,293.72,10161.16
279,4445,8,TRV-2024-0000279,2024-02-11,2025-02-10,614.12,14490.86
280,1536,6,MTR-2024-0000280,2024-11-23,2025-11-22,327.15,10802.01
281,4084,8,TRV-2023-0000281,2023-12-29,2024-12-28,380.75,14925.24
282,1667,5,MTR-2023-0000282,2023-04-02,2024-04-01,263.80,7838.79
283,2360,8,TRV-2024-0000283,2024-10-24,2025-10-23,387.66,17304.40
284,3971,2,HLT-2025-0000284,2025-04-08,2026-04-07,697.37,4392.82
285,5162,4,HOM-2023-0000285,2023-05-07,2024-05-06,446.01,16475.71
286,2546,1,HLT-2023-0000286,2023-02-22,2024-02-21,328.13,9795.11
287,764,4,HOM-2025-0000287,2025-09-14,2026-09-13,371.93,18466.91
288,930,8,TRV-2025-0000288,2025-03-24,2026-03-23,258.86,12326.33
289,5307,3,HOM-2022-0000289,2022-12-28,2023-12-27,1465.45,40192.75
290,5871,5,MTR-2023-0000290,2023-04-29,2024-04-28,500.86,13973.61
291,2240,7,TRV-2023-0000291,2023-12-08,2024-12-07,542.48,23089.35
292,3869,4,HOM-2023-0000292,2023-08-21,2024-08-20,587.69,15018.65
293,1185,7,TRV-2024-0000293,2024-08-28,2025-08-27,1043.71,14170.94
294,4911,3,HOM-2024-0000294,2024-12-29,2025-12-28,576.50,25297.52
295,2264,7,TRV-2024-0000295,2024-12-22,2025-12-21,215.32,4369.79
296,4160,5,MTR-2023-0000296,2023-11-03,2024-11-02,869.93,36471.58
297,2318,5,MTR-2024-0000297,2024-08-19,2025-08-18,680.95,29067.32
298,4751,8,TRV-2023-0000298,2023-03-07,2024-03-06,631.45,27743.85
299,3659,8,TRV-2023-0000299,2023-08-18,2024-08-17,1399.83,28739.32
300,4522,7,TRV-2024-0000300,2024-07-16,2025-07-15,468.50,11942.30
301,2637,4,HOM-2022-0000301,2022-12-09,2023-12-08,2869.68,141001.32
302,1956,7,TRV-2024-0000302,2024-08-03,2025-08-02,1600.41,24822.86
303,3366,1,HLT-2024-0000303,2024-01-21,2025-01-20,690.33,13335.75
304,3875,7,TRV-2024-0000304,2024-11-11,2025-11-10,1143.49,25583.92
305,5437,3,HOM-2024-0000305,2024-02-22,2025-02-21,337.08,9198.84
306,304,3,HOM-2024-0000306,2024-09-23,2025-09-22,521.41,14392.53
307,4835,6,MTR-2025-0000307,2025-11-22,2026-11-21,494.95,21845.37
308,3607,2,HLT-2025-0000308,2025-04-17,2026-04-16,388.84,11147.19
309,3744,1,HLT-2025-0000309,2025-09-29,2026-09-28,826.18,30989.99
310,3359,3,HOM-2024-0000310,2024-12-31,2025-12-30,580.03,4853.27
311,2171,6,MTR-2023-0000311,2023-08-03,2024-08-02,491.37,16238.14
312,3257,2,HLT-2023-0000312,2023-09-26,2024-09-25,509.76,22087.61
313,5525,7,TRV-2024-0000313,2024-03-10,2025-03-09,874.34,41912.61
314,5135,8,TRV-2023-0000314,2023-11-09,2024-11-08,538.41,23828.54
315,295,2,HLT-2023-0000315,2023-03-06,2024-03-05,363.06,5650.91
316,5607,5,MTR-2025-0000316,2025-05-23,2026-05-22,218.11,10880.24
317,741,7,TRV-2025-0000317,2025-03-27,2026-03-26,1296.04,63538.62
318,5192,2,HLT-2023-0000318,2023-03-10,2024-03-09,452.95,11308.14
319,5686,5,MTR-2024-0000319,2024-04-06,2025-04-05,1313.67,59974.40
320,377,6,MTR-2023-0000320,2023-03-04,2024-03-03,248.82,10158.44
321,2404,6,MTR-2023-0000321,2023-02-21,2024-02-20,502.29,10984.00
322,1193,4,HOM-2025-0000322,2025-05-31,2026-05-30,652.89,18870.14
323,4637,3,HOM-2024-0000323,2024-12-15,2025-12-14,360.12,4555.25
324,647,7,TRV-2025-0000324,2025-01-25,2026-01-24,608.81,20021.91
325,1972,8,TRV-2025-0000325,2025-03-10,2026-03-09,381.06,17558.22
326,1173,4,HOM-2023-0000326,2023-08-07,2024-08-06,475.17,12236.46
327,2080,8,TRV-2023-0000327,2023-03-04,2024-03-03,420.35,6931.45
328,77,8,TRV-2025-0000328,2025-02-01,2026-01-31,598.53,27265.69
329,5551,3,HOM-2023-0000329,2023-04-09,2024-04-08,812.73,6764.99
330,2831,5,MTR-2023-0000330,2023-09-20,2024-09-19,748.31,25257.14
331,3476,5,MTR-2023-0000331,2023-03-22,2024-03-21,229.44,5863.94
332,2475,4,HOM-2025-0000332,2025-06-17,2026-06-16,375.91,18784.90
333,3959,2,HLT-2023-0000333,2023-03-21,2024-03-20,200.00,3134.85
334,4686,6,MTR-2025-0000334,2025-10-19,2026-10-18,1305.96,40310.46
335,5729,5,MTR-2023-0000335,2023-12-06,2024-12-05,449.11,2688.95
336,5393,7,TRV-2024-0000336,2024-08-24,2025-08-23,203.92,3538.34
337,4637,1,HLT-2023-0000337,2023-06-10,2024-06-09,2034.64,93548.20
338,4070,5,MTR-2025-0000338,2025-05-08,2026-05-07,250.46,9995.44
